y,left_x,right_x,width
324,1511,1559,49
325,1492,1578,87
326,1479,1591,113
327,1468,1602,135
328,1459,1611,153
329,1451,1619,169
330,1443,1627,185
331,1436,1634,199
332,1430,1640,211
333,1424,1646,223
334,1418,1652,235
335,1413,1657,245
336,1408,1662,255
337,1403,1667,265
338,1398,1672,275
339,1394,1676,283
340,1389,1681,293
341,1385,1685,301
342,1381,1689,309
343,1377,1693,317
344,1373,1697,325
345,1369,1701,333
346,1365,1705,341
347,1362,1708,347
348,1358,1712,355
349,1354,1716,363
350,1351,1719,369
351,1348,1722,375
352,1344,1726,383
353,1341,1729,389
354,1338,1732,395
355,1335,1735,401
356,1332,1738,407
357,1329,1741,413
358,1326,1744,419
359,1323,1747,425
360,1320,1750,431
361,1317,1753,437
362,1314,1756,443
363,1311,1759,449
364,1309,1761,453
365,1306,1764,459
366,1304,1766,463
367,1301,1769,469
368,1299,1771,473
369,1296,1774,479
370,1294,1776,483
371,1291,1779,489
372,1289,1781,493
373,1286,1784,499
374,1283,1787,505
375,1281,1789,509
376,1279,1791,513
377,1277,1793,517
378,1274,1796,523
379,1272,1798,527
380,1270,1800,531
381,1268,1802,535
382,1266,1804,539
383,1263,1807,545
384,1261,1809,549
385,1259,1811,553
386,1257,1813,557
387,1254,1816,563
388,1252,1818,567
389,1250,1820,571
390,1248,1822,575
391,1246,1824,579
392,1245,1825,581
393,1243,1827,585
394,1241,1829,589
395,1239,1831,593
396,1237,1833,597
397,1235,1835,601
398,1233,1837,605
399,1231,1839,609
400,1229,1841,613
401,1227,1843,617
402,1225,1845,621
403,1223,1847,625
404,1221,1849,629
405,1220,1850,631
406,1218,1852,635
407,1216,1854,639
408,1214,1856,643
409,1213,1857,645
410,1211,1859,649
411,1209,1861,653
412,1208,1862,655
413,1206,1864,659
414,1204,1866,663
415,1202,1868,667
416,1201,1869,669
417,1199,1871,673
418,1197,1873,677
419,1196,1874,679
420,1194,1876,683
421,1192,1878,687
422,1191,1879,689
423,1189,1881,693
